elapsed_sec,policy_version,last_batch_reward_mean,rolling_reward_mean,last_batch_steps,last_batch_trajectories
108.92,152,167.625,144.40020147615442,21581,128
109.96,152,167.625,144.40020147615442,21581,128
110.99,153,163.8515625,146.345337578539,21100,128
112.03,154,158.640625,147.5748663206851,20434,128
113.08,154,158.640625,147.5748663206851,20434,128
114.13,155,178.09375,150.6267546886166,22924,128
115.18,156,165.6796875,152.13204796975495,21335,128
116.19,156,165.6796875,152.13204796975495,21335,128
117.25,157,165.078125,153.42665567277945,21255,128
118.28,158,176.6640625,155.7503963555015,22739,128
119.28,158,176.6640625,155.7503963555015,22739,128
120.32,159,173.2265625,157.49801296995133,22301,128
121.36,159,173.2265625,157.49801296995133,22301,128
122.38,160,173.1171875,159.05993042295623,22286,128
123.41,161,174.21875,160.5758123806606,22427,128
124.44,161,174.21875,160.5758123806606,22427,128
125.50,162,167.265625,161.24479364259454,21538,128
126.52,163,195.90625,164.7109392783351,25202,128
127.53,163,195.90625,164.7109392783351,25202,128
128.55,164,165.703125,164.8101578505016,21338,128
129.59,164,177.671875,166.09632956545147,22868,128
130.64,165,177.671875,166.09632956545147,22868,128
131.66,166,186.78125,168.16482160890632,24036,128
132.70,166,186.78125,168.16482160890632,24036,128
133.73,167,180.578125,169.40615194801572,23242,128
134.78,168,183.4453125,170.81006800321413,23607,128
135.79,168,183.4453125,170.81006800321413,23607,128
136.81,169,200.984375,173.82749870289274,25854,128
137.86,169,200.984375,173.82749870289274,25854,128
138.91,170,185.078125,174.95256133260347,23817,128
139.96,170,185.078125,174.95256133260347,23817,128
140.98,171,183.171875,175.7744926993431,23573,128
142.01,172,188.9765625,177.09469967940882,24315,128
143.01,172,188.9765625,177.09469967940882,24315,128
144.04,173,195.53125,178.93835471146792,25156,128
145.10,173,195.53125,178.93835471146792,25156,128
146.13,174,191.9375,180.23826924032113,24695,128
147.17,174,191.9375,180.23826924032113,24695,128
148.21,175,208.5546875,183.06991106628902,26822,128
149.25,175,208.5546875,183.06991106628902,26822,128
150.27,176,217.0546875,186.46838870966013,27908,128
151.29,176,217.0546875,186.46838870966013,27908,128
152.34,177,212.984375,189.11998733869413,27389,128
153.38,178,211.421875,191.35017610482473,27185,128
154.38,178,211.421875,191.35017610482473,27185,128
155.41,179,213.015625,193.51672099434228,27393,128
156.48,179,213.015625,193.51672099434228,27393,128
157.52,180,209.8203125,195.14708014490807,26984,128
158.55,180,209.8203125,195.14708014490807,26984,128
159.58,181,206.359375,196.2683096304173,26542,128
160.65,181,206.359375,196.2683096304173,26542,128
161.69,182,210.6328125,197.70475991737555,27089,128
162.72,183,210.0078125,198.935065175638,27008,128
163.72,183,210.0078125,198.935065175638,27008,128
164.78,184,215.375,200.5790586580742,27693,128
165.78,184,215.375,200.5790586580742,27693,128
166.82,185,217.1015625,202.2313090422668,27915,128
167.87,185,217.1015625,202.2313090422668,27915,128
168.92,186,243.15625,206.32380313804012,31249,128
170.06,186,243.15625,206.32380313804012,31249,128
171.10,187,226.5625,208.3476728242361,29125,128
172.13,187,226.5625,208.3476728242361,29125,128
173.17,188,217.8203125,209.29493679181252,28006,128
174.21,188,217.8203125,209.29493679181252,28006,128
175.26,189,220.953125,210.4607556126313,28408,128
176.32,189,220.953125,210.4607556126313,28408,128
177.33,190,231.859375,212.60061755136815,29802,128
